Ticker,Exch.,Name,ICB_Level 2,Mar.Cap (mn USD),Outs. Share,Listed Share,Freefloat (Share),% Freefloat,Total foreign-room (Share),Foreign-owned (Share),Remaining Room (share),% State-owned,% Foreign-owned,% Other-owned,% Remained room,Beta,BVPS (VND),Basic EPS (VND),Basic PE,PB,% ROE,% ROA,EBIT (USD mn),EBITDA (USD mn),,Revenue Plan 2020 (USD mn),"Profit Plan 2020
(USD mn)",Price (VND),T-1,% T-1,% T-3,% 1M,% YTD,% YoY,Matched Vol. ,Put-through Vol.,Matched Value (USD) ,Put-through Value (USD),Total Vol.,"Total Val.
(USD)",TURNOVER 20D,% turnover vs prev 20D,Avg.Vol 20D ,Buying Vol.,Selling Vol.,Net off Vol.,Buying Val.  (USD),Selling Val.  (USD),Net off Val. (USD)
CDN,HNX,Da Nang Port,Industrial Goods & Services L2,78.89975445," 99,000,000 "," 99,000,000 "," 14,850,000 ",15.0%, -   ," (27,389,813)"," 27,389,813 ",75.00%,21.33%,3.67%,27.67%,-0.05," 14,242.16 "," 2,022.47 ", 9.39 , 1.33 ,14.80%,12.06%,9.819442919,14.82891914,,36.8328092,8.27122733," 18,500 ", n.a ,n.a,n.a,n.a,n.a,n.a, 400 , -   , 314 , -   , 400 , 314 , -   ,0.00%, -   , 200 , -   , 200 , 162 , -   , 162 
CEO,HNX,CEO Group,Real Estate L2,107.5344787," 257,339,985 "," 257,339,985 "," 154,403,991 ",60.0%, -   ," (85,512,627)"," 85,512,627 ",0.00%,15.77%,84.23%,33.23%,0.83," 11,601.18 "," 1,616.28 ", 5.94 , 0.83 ,11.27%,4.61%,35.30275108,39.75444294,,0,0," 9,700 ", 100 ,1.04%,3.19%,36.62%,3.19%,-14.84%," 3,449,577 ", -   ," 1,370,825 ", -   ," 3,449,577 "," 1,370,825 "," 15,682,040,381 ",102.87%," 1,854,467 ", -   ," (1,300)"," (1,300)", -   , (504), (504)
CET,HNX,Tech - Vina,Personal & Household Goods L2,0.495196657," 6,050,000 "," 6,050,000 "," 3,932,500 ",65.0%, -   ," (2,960,700)"," 2,960,700 ",0.00%,0.06%,99.94%,48.94%,-1.11," 10,750.47 ", (281.44), (7.11), 0.19 ,-2.57%,-1.88%,-0.028759539,0.115211738,,2.15396545,-0.129237927," 1,900 ", (100),-5.00%,0.00%,35.71%,-44.12%,-51.28%," 111,800 ", -   ," 9,465 ", -   ," 111,800 "," 9,465 "," 115,283,000 ",90.58%," 104,040 ", -   , -   , -   , -   , -   , -   
CIA,HNX,Cam Ranh International Airport Services,Industrial Goods & Services L2,10.01925073," 19,709,904 "," 19,709,904 "," 8,869,456 ",45.0%, -   ," (5,634,241)"," 5,634,241 ",0.00%,1.31%,98.69%,28.59%,1.15," 18,664.35 "," 1,086.02 ", 10.77 , 0.63 ,5.19%,4.15%,1.129367034,1.911822897,,0,0," 11,800 ", 100 ,0.85%,0.85%,-1.67%,-21.33%,-32.96%," 28,120 ", -   ," 13,930 ", -   ," 28,120 "," 13,930 "," 102,176,000 ",216.26%," 8,750 "," 20,000 ", -   ," 20,000 "," 9,980 ", -   ," 9,980 "
CJC,HNX,Central Electrical Mechanical,Industrial Goods & Services L2,2.395209581," 4,000,000 "," 4,000,000 "," 400,000 ",10.0%, -   ," (1,947,100)"," 1,947,100 ",0.00%,0.32%,99.68%,48.68%,0.05," 10,193.18 "," (7,784.08)", (1.98), 1.51 ,-56.71%,-10.95%,-0.774922196,-0.723062066,,12.9237927,0.103390342," 13,900 "," (1,500)",-9.74%,-9.74%,-18.71%,-33.81%,-33.81%, 100 , -   , 60 , -   , 100 , 60 ," 77,000 ",1705.19%, 5 , -   , -   , -   , -   , -   , -   
CKV,HNX,CokyVina,Technology L2,2.074010253," 4,012,000 "," 4,050,000 "," 1,203,600 ",30.0%, -   ," (1,451,770)"," 1,451,770 ",49.00%,13.15%,37.85%,36.19%,-0.56," 22,120.07 "," 1,210.42 ", 9.75 , 0.53 ,5.69%,2.78%,0.222020682,0.632979697,,0,0," 12,000 ", 200 ,1.69%,0.00%,-9.09%,-27.27%,-13.67%, 300 , -   , 151 , -   , 300 , 151 ," 41,762,500 ",-91.60%," 3,403 ", 200 , -   , 200 , 103 , -   , 103 
CLH,HNX,La Hien Cement,Construction & Materials L2,7.452720458," 10,000,000 "," 10,000,000 "," 5,000,000 ",50.0%, -   ," (4,885,300)"," 4,885,300 ",51.38%,0.15%,48.47%,48.85%,-1.03," 18,061.43 "," 3,811.32 ", 4.54 , 0.96 ,22.72%,11.37%,2.363590736,4.028090102,,0,0," 17,300 ", -   ,0.00%,-0.57%,-4.42%,9.49%,20.14%," 1,100 ", -   , 811 , -   ," 1,100 ", 811 ," 29,027,500 ",-35.13%," 1,685 ", -   , -   , -   , -   , -   , -   
CLM,HNX,Coalimex,Basic Resources L2,7.581958385," 11,000,000 "," 11,000,000 "," 4,400,000 ",40.0%, -   , -   , -   ,55.41%,0.00%,44.59%,0.00%,-0.18," 16,437.47 "," 4,123.39 ", 4.12 , 1.03 ,27.93%,3.83%,2.267080764,2.469931679,,263.4164477,2.455520613," 16,000 "," (1,000)",-5.88%,-5.88%,-5.33%,-22.71%,14.29%, 200 , -   , 138 , -   , 200 , 138 ," 165,000 ",1839.39%, 10 , -   , -   , -   , -   , -   , -   
CMC,HNX,CMC Investment,Automobiles & Parts L2,0.962785724," 4,561,050 "," 4,561,050 "," 1,368,315 ",30.0%, -   ," (2,174,304)"," 2,174,304 ",8.39%,1.33%,90.28%,47.67%,-0.78," 12,748.41 ", (27.82), (176.15), 0.38 ,-0.22%,-0.11%,0.074124082,0.064779824,,2.067806832,0.103390342," 4,900 ", -   ,0.00%,0.00%,2.08%,-48.42%,19.51%, -   , -   , -   , -   , -   , -   ," 4,023,000 ",58.34%, 683 , -   , -   , -   , -   , -   , -   
CMS,HNX,CM Vietnam,Industrial Goods & Services L2,1.778313876," 17,200,000 "," 17,200,000 "," 10,320,000 ",60.0%, -   ," (8,217,260)"," 8,217,260 ",0.00%,1.22%,98.78%,47.77%,0.10," 10,606.02 ", 216.14 , 12.03 , 0.25 ,1.57%,0.60%,0.217632304,0.619748269,,0,0," 2,400 ", (200),-7.69%,-7.69%,0.00%,-20.00%,-57.89%," 37,520 ", -   ," 3,929 ", -   ," 37,520 "," 3,929 "," 40,949,000 ",122.59%," 16,390 ", 200 , -   , 200 , 21 , -   , 21 
CPC,HNX,Cantho pesticides,Chemicals L2,2.971460173," 4,081,450 "," 4,303,050 "," 2,040,725 ",50.0%, -   ," (1,278,564)"," 1,278,564 ",0.00%,19.28%,80.72%,31.33%,-0.43," 19,224.69 "," 2,288.39 ", 7.39 , 0.88 ,11.63%,7.13%,0.622094561,0.788948994,,0,0," 16,900 ", -   ,0.00%,-2.87%,11.92%,-23.87%,-41.32%," 1,200 ", -   , 819 , -   ," 1,200 ", 819 ," 7,214,500 ",163.64%, 448 , 100 , -   , 100 , 73 , -   , 73 
CSC,HNX,COTANA GROUP,Real Estate L2,21.28333262," 20,500,000 "," 20,500,000 "," 4,100,000 ",20.0%, -   ," (9,424,904)"," 9,424,904 ",0.00%,3.02%,96.98%,45.98%,0.42," 13,347.66 ", (69.27), (353.71), 1.84 ,-0.45%,-0.17%,0.65606072,0.868837785,,0,0," 24,100 ", (400),-1.63%,8.07%,4.78%,-24.69%,19.31%," 13,400 ", -   ," 13,860 ", -   ," 13,400 "," 13,860 "," 132,856,000 ",142.17%," 5,847 ", -   , -   , -   , -   , -   , -   
CTB,HNX,Hai Duong Pump Manufacturer,Industrial Goods & Services L2,18.26907336," 13,680,000 "," 13,680,000 "," 8,208,000 ",60.0%, -   ," (5,861,957)"," 5,861,957 ",0.00%,6.15%,93.85%,42.85%,0.46," 16,040.10 "," 2,864.21 ", 10.82 , 1.93 ,18.72%,7.93%,1.91329891,2.298138969,,23.69361995,1.033903416," 31,000 ", -   ,0.00%,6.16%,-1.59%,-6.06%,-0.64%, -   , -   , -   , -   , -   , -   ," 23,493,000 ",37.49%, 799 , -   , -   , -   , -   , -   , -   
CTC,HNX,Gia Lai CTC Co.,Travel & Leisure L2,1.251012614," 8,799,926 "," 8,799,926 "," 1,759,985 ",20.0%, -   ," (4,305,693)"," 4,305,693 ",0.00%,0.07%,99.93%,48.93%,0.32," 6,801.65 ", 2.80 ," 1,179.83 ", 0.49 ,0.03%,0.01%,0.386095653,0.689452484,,0,0," 3,300 ", -   ,0.00%,0.00%,10.00%,-2.94%,-13.16%, -   , -   , -   , -   , -   , -   ," 4,719,000 ",1473.43%," 93,258 ", -   , -   , -   , -   , -   , -   
CTP,HNX,Minh Khang Capital Trading Public,Food & Beverage L2,1.82440753," 12,099,992 "," 12,099,992 "," 7,259,995 ",60.0%, -   ," (5,834,018)"," 5,834,018 ",0.00%,0.78%,99.22%,48.22%,0.53," 12,348.27 ", 782.06 , 4.48 , 0.28 ,6.57%,5.57%,0.313256677,0.441135185,,0,0," 3,500 ", -   ,0.00%,-10.26%,20.69%,-16.67%,0.00%," 30,759 ", -   ," 4,545 ", -   ," 30,759 "," 4,545 "," 132,189,988 ",-20.33%," 36,556 ", -   , -   , -   , -   , -   , -   
CTT,HNX,Vinacomin-Machinery,Industrial Goods & Services L2,1.942642898," 4,697,351 "," 4,697,351 "," 2,348,676 ",50.0%, -   ," (2,289,701)"," 2,289,701 ",40.98%,0.26%,58.76%,48.74%,-0.08," 12,928.55 "," 1,767.60 ", 5.43 , 0.74 ,14.17%,1.63%,1.035085699,2.757211445,,59.83716021,0.354973506," 9,600 ", -   ,0.00%,0.00%,0.00%,18.52%,9.09%, -   , -   , -   , -   , -   , -   ," 43,235,500 ",-97.78%," 4,536 ", -   , -   , -   , -   , -   , -   
CTX,HNX,CONSTREXIM HOLDINGS,Construction & Materials L2,30.59343833," 78,907,276 "," 78,907,276 "," 15,781,455 ",20.0%, -   ," (38,653,566)"," 38,653,566 ",0.00%,0.01%,99.99%,48.99%,0.43," 12,552.94 "," 2,746.57 ", 3.28 , 0.72 ,22.43%,9.04%,11.42960294,12.08313107,,0,0," 9,000 ", -   ,0.00%,0.00%,-4.26%,-29.69%,34.74%," 1,600 ", -   , 619 , -   ," 1,600 ", 619 ," 39,046,500 ",-63.22%," 144,257 ", -   , -   , -   , -   , -   , -   
CVN,HNX,Vinam Group,Construction & Materials L2,3.909447292," 8,250,000 "," 8,250,000 "," 4,950,000 ",60.0%, -   ," (4,041,100)"," 4,041,100 ",0.00%,0.02%,99.98%,48.98%,0.51," 17,164.83 "," 4,995.28 ", 2.20 , 0.64 ,32.06%,28.59%,1.939549765,0,,0,0," 11,000 ", -   ,0.00%,-0.90%,37.50%,-5.98%,-24.14%," 11,000 ", -   ," 4,799 ", -   ," 11,000 "," 4,799 "," 359,396,006 ",-69.01%," 35,843 ", -   , -   , -   , -   , -   , -   
CX8,HNX,Constrexim No. 8,Construction & Materials L2,0.846723448," 2,208,426 "," 2,110,586 "," 1,104,213 ",50.0%, -   ," (1,027,862)"," 1,027,862 ",0.00%,0.30%,99.70%,46.54%,0.10," 12,513.26 ", 281.79 , 31.58 , 0.71 ,2.26%,0.58%,0.052614044,0.059903237,,0,0," 8,900 ", n.a ,n.a,n.a,n.a,n.a,n.a, -   , -   , -   , -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   
D11,HNX,Real Estate 11,Real Estate L2,11.09258711," 6,551,965 "," 6,551,965 "," 2,293,188 ",35.0%, -   ," (3,204,221)"," 3,204,221 ",20.00%,0.10%,79.90%,48.90%,1.05," 16,992.92 "," 4,418.89 ", 8.10 , 2.11 ,26.81%,4.92%,1.383786345,1.467203715,,0,0," 39,300 "," 3,500 ",9.78%,8.56%,106.84%,123.30%,227.50%," 131,400 ", -   ," 208,132 ", -   ," 131,400 "," 208,132 "," 863,832,525 ",459.29%," 29,123 ", -   , -   , -   , -   , -   , -   
DAD,HNX,DaNang Education,Media L2,3.070941283," 4,659,200 "," 5,000,000 "," 1,630,720 ",35.0%, -   ," (948,500)"," 948,500 ",41.50%,30.13%,28.37%,20.36%,0.41," 16,495.27 "," 2,814.60 ", 5.44 , 0.93 ,15.99%,10.90%,0.742222152,0.771605168,,6.246499806,0.534183432," 15,300 ", -   ,0.00%,0.00%,-4.97%,-28.84%,-10.00%," 5,110 ", -   ," 3,238 ", -   ," 5,110 "," 3,238 "," 17,319,000 ",333.22%," 1,152 ", 100 ," (5,000)"," (4,900)", 66 ," (3,166)"," (3,100)"
DAE,HNX,Da Nang Educational Books,Media L2,0.923238013," 1,498,680 "," 1,498,680 "," 749,340 ",50.0%, -   ," (624,221)"," 624,221 ",29.41%,7.35%,63.24%,41.65%,0.30," 22,185.62 "," 2,968.67 ", 4.75 , 0.64 ,12.90%,9.67%,0.223610475,0.225203374,,2.412441304,0.219704476," 14,300 ", 200 ,1.42%,0.70%,2.14%,-15.88%,-15.38%, 300 , -   , 185 , -   , 300 , 185 ," 14,725,500 ",-70.87%," 1,040 ", 300 , (300), -   , 185 , (185), -   
DBT,HNX,BEN TRE Pharmaceutical,Health Care L2,6.352650351," 13,528,814 "," 13,528,814 "," 6,764,407 ",50.0%, -   , -   , -   ,0.00%,0.00%,100.00%,0.00%,0.36," 14,007.49 "," 1,577.84 ", 6.65 , 0.75 ,8.54%,3.16%,1.292747876,1.852905084,,39.28832982,1.348382372," 10,900 ", 400 ,3.81%,3.81%,1.87%,-8.40%,0.00%," 15,200 ", -   ," 6,877 ", -   ," 15,200 "," 6,877 "," 28,622,500 ",457.71%," 2,692 ", -   , -   , -   , -   , -   , -   
DC2,HNX,DIC No 2,Construction & Materials L2,0.673071124," 2,520,000 "," 2,520,000 "," 1,134,000 ",45.0%, -   ," (1,234,600)"," 1,234,600 ",50.07%,0.01%,49.92%,48.99%,-0.17," 10,277.34 "," 3,039.95 ", 2.04 , 0.60 ,33.82%,5.75%,0.365362694,0.381866902,,13.12885021,0.392021712," 6,200 ", -   ,0.00%,0.00%,5.08%,19.23%,34.78%, -   , -   , -   , -   , -   , -   ," 8,259,000 ",396.55%," 1,305 ", -   , -   , -   , -   , -   , -   
DC4,HNX,DIC No.4,Construction & Materials L2,18.09330978," 30,000,000 "," 30,000,000 "," 6,000,000 ",20.0%, -   ," (14,685,832)"," 14,685,832 ",0.00%,0.05%,99.95%,48.95%,-0.28," 11,869.57 "," 1,420.60 ", 9.86 , 1.18 ,10.93%,5.66%,1.703694179,2.945449949,,28.00155086,1.128677896," 14,000 ", -   ,0.00%,0.00%,6.06%,7.69%,66.67%, -   , -   , -   , -   , -   , -   ," 3,785,500 ",121.90%, 270 , -   , -   , -   , -   , -   , -   
DDG,HNX,Indochine Import Export Investment Industrial,Utilities L2,17.51425512," 14,519,943 "," 12,000,000 "," 9,437,963 ",65.0%, -   ," (14,519,801)"," 14,519,801 ",0.00%,0.00%,100.00%,100.00%,0.06," 10,898.27 ", 887.16 , 31.67 , 2.58 ,8.29%,1.98%,1.462702087,2.590162462,,17.66251669,0.677206738," 28,000 ", (100),-0.36%,1.45%,14.85%,25.48%,38.85%," 68,610 ", -   ," 82,342 ", -   ," 68,610 "," 82,342 "," 1,918,392,001 ",-0.38%," 89,578 ", -   , -   , -   , -   , -   , -   
DGC,HNX,Ducgiang Chemicals,Chemicals L2,214.5550168," 129,362,743 "," 129,363,616 "," 77,617,645 ",60.0%, -   ," (62,322,437)"," 62,322,437 ",8.85%,0.83%,90.32%,48.18%,0.74," 27,160.59 "," 4,972.89 ", 7.40 , 1.35 ,18.41%,13.54%,28.80731526,40.09823886,,262.094516,30.15551631," 38,500 "," 1,700 ",4.62%,-5.87%,31.40%,57.79%,34.15%," 310,014 "," 51,227 "," 490,443 "," 73,267 "," 361,241 "," 563,709 "," 13,398,125,861 ",-15.11%," 363,920 ", -   ," (8,800)"," (8,800)", -   ," (14,020)"," (14,020)"
DHP,HNX,Hai Phong Electrical Mechanical,Industrial Goods & Services L2,3.884715461," 9,492,200 "," 9,492,200 "," 8,068,370 ",85.0%, -   ," (4,143,978)"," 4,143,978 ",3.16%,5.34%,91.50%,43.66%,0.35," 16,868.12 "," 1,318.87 ", 7.20 , 0.56 ,7.87%,5.88%,0.686217452,0.986572064,,12.32068238,0.538530543," 9,500 ", -   ,0.00%,-5.00%,-4.04%,14.46%,-5.00%, -   , -   , -   , -   , -   , -   ," 10,301,500 ",-81.56%," 1,040 ", -   , -   , -   , -   , -   , -   
DHT,HNX,Ha Tay Pharmaceutical,Health Care L2,41.9550156," 21,125,852 "," 21,127,365 "," 11,619,218 ",55.0%, -   ," (9,693,018)"," 9,693,018 ",0.00%,3.12%,96.88%,45.88%,-0.22," 14,980.52 "," 4,468.27 ", 10.14 , 3.02 ,30.03%,13.56%,4.704324706,4.868131877,,86.46017318,3.859906087," 46,100 ", 800 ,1.77%,1.32%,-1.07%,-5.14%,45.43%," 16,900 ", -   ," 33,009 ", -   ," 16,900 "," 33,009 "," 1,260,884,013 ",-39.23%," 27,807 ", -   , -   , -   , -   , -   , -   
DIH,HNX,DIC Hoi An,Construction & Materials L2,3.946455047," 5,910,262 "," 5,979,962 "," 3,546,157 ",60.0%, -   ," (2,933,642)"," 2,933,642 ",0.00%,0.07%,99.93%,49.64%,-0.20," 15,468.26 ", 339.96 , 45.59 , 1.00 ,2.21%,0.61%,0.1098801,0.152648001,,8.615861802,0.086158618," 15,500 ", -   ,0.00%,0.00%,24.00%,-10.92%,-18.42%, -   , -   , -   , -   , -   , -   ," 14,546,000 ",38.80%," 5,255 ", -   , -   , -   , -   , -   , -   
DL1,HNX,Duc Long Gia Lai Station,Industrial Goods & Services L2,74.09705773," 101,177,353 "," 101,177,353 "," 45,529,809 ",45.0%, -   ," (48,537,517)"," 48,537,517 ",0.00%,1.03%,98.97%,47.97%,-0.05," 10,629.06 ", 245.57 , 69.23 , 1.60 ,2.30%,1.84%,0.118214448,0.128331012,,0,0," 17,000 ", -   ,0.00%,0.00%,42.86%,-42.95%,-48.95%, 10 , -   , 7 , -   , 10 , 7 ," 5,742,000 ",-70.39%, 507 , -   , -   , -   , -   , -   , -   
DNC,HNX,Haiphong electricity water machines,Utilities L2,10.80125447," 4,110,320 "," 4,110,320 "," 1,438,612 ",35.0%, -   ," (2,005,521)"," 2,005,521 ",0.00%,0.21%,99.79%,48.79%,-0.09," 14,779.30 "," 5,289.50 ", 11.53 , 4.13 ,38.26%,25.61%,0.958677648,1.024254069,,18.73949942,0.92017404," 61,000 ", -   ,0.00%,0.00%,3.39%,74.29%,145.97%, -   , -   , -   , -   , -   , -   ," 135,703,000 ",-95.50%," 2,670 ", -   , -   , -   , -   , -   , -   
DNM,HNX,Danameco Medical,Health Care L2,6.600446948," 4,377,605 "," 4,377,605 "," 2,845,443 ",65.0%, -   ," (1,966,360)"," 1,966,360 ",0.00%,4.08%,95.92%,44.92%,0.62," 21,654.54 "," 3,606.66 ", 9.82 , 1.63 ,18.26%,6.76%,1.102723442,1.260350443,,0,0," 35,000 ", (400),-1.13%,-2.78%,10.06%,311.76%,218.18%," 5,350 ", -   ," 7,923 ", -   ," 5,350 "," 7,923 "," 669,012,989 ",-72.76%," 19,498 ", -   , -   , -   , -   , -   , -   
DNP,HNX,Dong Nai Plastic,Construction & Materials L2,72.80383201," 99,999,725 "," 100,008,535 "," 49,999,863 ",50.0%, -   ," (30,236,587)"," 30,236,587 ",0.00%,0.69%,99.31%,30.24%,-0.10," 11,501.93 ", 254.36 , 66.83 , 1.48 ,1.27%,0.34%,4.793421432,17.55245863,,151.8976436,0.172317236," 16,900 ", (100),-0.59%,-0.59%,-0.59%,-4.52%,14.97%," 3,200 "," 70,000 "," 2,324 "," 51,264 "," 73,200 "," 53,589 "," 200,390,496 ",-73.08%," 158,070 ", -   , (400), (400), -   , (291), (291)
DP3,HNX,FORIPHARM,Health Care L2,24.15543015," 8,600,000 "," 8,600,000 "," 3,870,000 ",45.0%, -   ," (4,174,640)"," 4,174,640 ",22.07%,0.46%,77.47%,48.54%,0.33," 37,729.21 "," 9,942.54 ", 6.63 , 1.75 ,28.50%,23.15%,4.531237659,4.621291086,,0,0," 65,200 ", (700),-1.06%,-6.72%,-6.19%,-11.89%,1.88%," 3,675 ", -   ," 10,322 ", -   ," 3,675 "," 10,322 "," 981,762,480 ",-76.09%," 12,468 ", -   , -   , -   , -   , -   , -   
DPC,HNX,Da Nang plastic,Industrial Goods & Services L2,1.011995003," 2,237,280 "," 2,237,280 "," 1,230,504 ",55.0%, -   ," (1,067,687)"," 1,067,687 ",0.00%,1.28%,98.72%,47.72%,1.15," 19,166.11 "," 2,423.41 ", 4.33 , 0.55 ,13.04%,7.36%,0.33275106,0.336598283,,0,0," 10,500 ", -   ,0.00%,0.00%,0.00%,-21.64%,-79.33%, -   , -   , -   , -   , -   , -   ," 13,933,500 ",12.32%," 1,370 ", -   , -   , -   , -   , -   , -   
DPS,HNX,Soc Son Development Investment,Basic Resources L2,0.401739418," 31,085,257 "," 31,085,257 "," 31,085,257 ",100.0%, -   ," (14,879,114)"," 14,879,114 ",0.00%,0.39%,99.61%,47.87%,0.11," 10,471.52 ", (216.80), (0.92), 0.02 ,0.00%,0.00%,0,0,,0,0, 300 , 100 ,50.00%,50.00%,0.00%,50.00%,-50.00%," 1,707,072 ", -   ," 22,062 ", -   ," 1,707,072 "," 22,062 "," 9,575,500 ",5248.02%," 45,528 "," 232,100 ", -   ," 232,100 "," 3,000 ", -   ," 3,000 "
DS3,HNX,Inland Waterway Management No3,Industrial Goods & Services L2,1.654720545," 10,669,730 "," 10,669,730 "," 8,002,298 ",75.0%, -   ," (5,209,567)"," 5,209,567 ",0.00%,0.17%,99.83%,48.83%,0.46," 10,978.84 ", 783.41 , 4.60 , 0.33 ,7.30%,6.09%,0.462350594,0.570043999,,0,0," 3,600 ", -   ,0.00%,0.00%,16.13%,12.50%,-10.00%," 50,200 ", -   ," 7,785 ", -   ," 50,200 "," 7,785 "," 239,057,503 ",-24.40%," 69,326 ", -   , -   , -   , -   , -   , -   
DST,HNX,Sao Thang Long Investment,Media L2,9.99340025," 32,219,000 "," 32,300,000 "," 32,219,000 ",100.0%, -   , (800), 800 ,0.00%,0.05%,99.95%,0.00%,1.18," 9,767.47 ", 31.03 , 212.67 , 0.68 ,0.30%,0.28%,-0.045312609,-0.045312609,,5.169517081,0.280015509," 7,200 ", 600 ,9.09%,30.91%,157.14%,800.00%,500.00%," 153,781 ", -   ," 46,615 ", -   ," 153,781 "," 46,615 "," 3,020,952,245 ",-64.22%," 722,826 ", 750 , -   , 750 , 223 , -   , 223 
DTD,HNX,Thanh Dat Investment Development,Construction & Materials L2,12.38950868," 24,580,997 "," 24,580,997 "," 14,748,598 ",60.0%, -   ," (12,032,694)"," 12,032,694 ",0.00%,0.05%,99.95%,48.95%,0.88," 15,291.75 ", 619.19 , 18.90 , 0.77 ,3.18%,0.97%,0.683660323,2.094998624,,25.8475854,4.307930901," 11,700 ", -   ,0.00%,-5.65%,-3.31%,9.35%,-14.20%," 147,711 ", -   ," 72,027 ", -   ," 147,711 "," 72,027 "," 1,050,522,490 ",59.14%," 85,291 ", 100 , -   , 100 , 48 , -   , 48 
DXP,HNX,Doan Xa Port,Industrial Goods & Services L2,11.19503166," 25,987,027 "," 25,987,027 "," 5,197,405 ",20.0%, -   ," (2,822,133)"," 2,822,133 ",0.00%,38.15%,61.85%,10.86%,0.64," 15,959.42 "," 1,656.98 ", 6.04 , 0.63 ,10.80%,10.15%,0.844691808,1.193881518,,5.641450911,1.437401456," 10,000 ", -   ,0.00%,-0.99%,-4.76%,-13.04%,-14.53%," 2,800 ", -   ," 1,202 ", -   ," 2,800 "," 1,202 "," 91,939,500 ",-69.65%," 9,012 ", -   ," (1,800)"," (1,800)", -   , (775), (775)
DZM,HNX,Dzima,Industrial Goods & Services L2,1.022803343," 5,395,985 "," 5,395,985 "," 2,967,792 ",55.0%, -   ," (2,051,694)"," 2,051,694 ",0.00%,10.98%,89.02%,38.02%,1.07," 11,080.50 "," 1,353.91 ", 2.95 , 0.36 ,13.52%,4.02%,-0.093351643,0.213137559,,0,0," 4,400 ", 400 ,10.00%,29.41%,69.23%,62.96%,-4.35%," 119,445 "," 8,500 "," 22,464 "," 1,318 "," 127,945 "," 23,782 "," 363,386,010 ",43.45%," 127,112 ", -   , -   , -   , -   , -   , -   
EBA,HNX,Bac Na JSC,Utilities L2,6.009563607," 15,500,000 "," 15,500,000 "," 3,100,000 ",20.0%, -   ," (15,500,000)"," 15,500,000 ",51.18%,0.00%,48.82%,100.00%,0.00," 10,888.43 ", 364.24 , 24.71 , 0.83 ,0.00%,0.00%,0,0,,3.232025158,0.441433679," 9,000 ", n.a ,n.a,n.a,n.a,n.a,n.a, -   , -   , -   , -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   
EBS,HNX,Hanoi Edu Book,Media L2,2.919311214," 9,965,584 "," 10,219,484 "," 3,487,954 ",35.0%, -   ," (4,144,506)"," 4,144,506 ",25.35%,8.45%,66.20%,41.59%,0.02," 12,752.05 "," 1,256.09 ", 5.41 , 0.53 ,9.92%,7.83%,0.59324587,0.626727236,,5.169517081,0.379097919," 6,800 ", -   ,0.00%,-2.86%,-2.86%,-15.00%,-24.44%, 400 , -   , 117 , -   , 400 , 117 ," 13,982,000 ",-80.55%," 2,020 ", -   , -   , -   , -   , -   , -   
ECI,HNX,Education Cartography And Illustration,Media L2,1.000818507," 1,760,000 "," 1,860,000 "," 264,000 ",15.0%, -   ," (812,100)"," 812,100 ",21.01%,5.34%,73.66%,46.14%,-0.21," 17,751.82 "," 2,268.19 ", 5.82 , 0.74 ,12.27%,8.55%,0.189341016,0.193534162,,2.541679231,0.130961099," 13,200 ", -   ,0.00%,-8.97%,-10.20%,-26.67%,-4.35%, -   , -   , -   , -   , -   , -   ," 2,758,000 ",-52.14%, 175 , -   , -   , -   , -   , -   , -   
EID,HNX,Hanoi Education Development,Media L2,7.043467023," 15,000,000 "," 15,000,000 "," 6,750,000 ",45.0%, -   ," (3,892,453)"," 3,892,453 ",40.16%,23.07%,36.76%,25.95%,0.00," 17,549.80 "," 2,935.31 ", 3.75 , 0.63 ,15.91%,8.88%,2.6657086,3.020467474,,0,0," 10,900 ", (100),-0.91%,0.00%,1.87%,-22.14%,-12.10%," 11,200 ", -   ," 5,269 ", -   ," 11,200 "," 5,269 "," 166,448,498 ",-26.52%," 15,481 "," 2,100 "," (5,500)"," (3,400)", 979 ," (2,606)"," (1,628)"
EVS,HNX,Everest Securities,Financial Services L2,19.38581829," 60,000,400 "," 60,000,400 "," 15,000,100 ",25.0%, -   ," (60,000,400)"," 60,000,400 ",0.00%,0.00%,100.00%,100.00%,-0.46," 11,832.39 ", (150.94), (49.69), 0.63 ,-1.26%,-0.75%,1.443278911,1.516645323,,9.003575583,0.379097919," 7,500 ", -   ,0.00%,0.00%,-1.32%,-21.05%,n.a," 5,300 ", -   ," 1,659 ", -   ," 5,300 "," 1,659 "," 24,151,000 ",59.41%," 4,650 ", -   , -   , -   , -   , -   , -   
FDT,HNX,Fiditour,Travel & Leisure L2,5.105527075," 3,054,500 "," 3,054,500 "," 1,221,800 ",40.0%, -   ," (1,496,705)"," 1,496,705 ",19.64%,0.00%,80.36%,49.00%,0.00," 13,118.46 "," 2,471.28 ", 15.70 , 2.96 ,0.00%,0.00%,0,0,,0,0," 38,800 ", n.a ,n.a,n.a,n.a,n.a,n.a, 5 , -   , 8 , -   , 5 , 8 , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   
